Indicador11,Municipio,Sexo,Grupo_Etareo,Año,Valor1
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 0 a 04 Años,2023,42.31
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 0 a 04 Años,2024,47.06
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 05 a 09 Años,2010,7.14
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 05 a 09 Años,2012,13.64
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 05 a 09 Años,2013,33.33
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 05 a 09 Años,2014,46.03
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 05 a 09 Años,2015,63.64
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 05 a 09 Años,2016,65.52
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 05 a 09 Años,2017,73.91
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 05 a 09 Años,2018,88.52
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 05 a 09 Años,2019,58.57
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 05 a 09 Años,2020,65.63
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 05 a 09 Años,2021,53.85
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 05 a 09 Años,2022,64.79
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 05 a 09 Años,2023,64.63
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 05 a 09 Años,2024,62.24
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 10 a 14 Años,2011,10
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 10 a 14 Años,2012,6.67
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 10 a 14 Años,2013,11.54
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 10 a 14 Años,2014,34.25
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 10 a 14 Años,2015,56.06
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 10 a 14 Años,2016,69.7
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 10 a 14 Años,2017,55.77
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 10 a 14 Años,2018,60.56
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 10 a 14 Años,2019,53.52
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 10 a 14 Años,2020,40.63
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 10 a 14 Años,2021,52.94
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 10 a 14 Años,2022,60.29
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 10 a 14 Años,2023,52.43
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 10 a 14 Años,2024,69.79
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 15 a 19 Años,2010,10
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 15 a 19 Años,2011,14.29
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 15 a 19 Años,2012,23.08
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 15 a 19 Años,2013,15.38
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 15 a 19 Años,2014,26.87
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 15 a 19 Años,2015,48.94
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 15 a 19 Años,2016,92.11
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 15 a 19 Años,2017,54
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 15 a 19 Años,2018,47.46
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 15 a 19 Años,2019,37.18
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 15 a 19 Años,2020,54.72
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 15 a 19 Años,2021,34
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 15 a 19 Años,2022,50
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 15 a 19 Años,2023,42.74
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 15 a 19 Años,2024,45.05
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 20 a 24 Años,2010,22.22
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 20 a 24 Años,2011,14.29
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 20 a 24 Años,2012,14.29
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 20 a 24 Años,2013,17.65
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 20 a 24 Años,2014,22.22
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 20 a 24 Años,2015,57.69
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 20 a 24 Años,2016,58.82
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 20 a 24 Años,2017,30.43
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 20 a 24 Años,2018,35.48
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 20 a 24 Años,2019,26
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 20 a 24 Años,2020,40.91
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 20 a 24 Años,2021,53.33
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 20 a 24 Años,2022,33.33
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 20 a 24 Años,2023,31.4
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 20 a 24 Años,2024,39.39
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 25 a 29 Años,2009,8.33
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 25 a 29 Años,2010,25
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 25 a 29 Años,2012,20
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 25 a 29 Años,2013,26.67
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 25 a 29 Años,2014,19.05
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 25 a 29 Años,2015,60
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 25 a 29 Años,2016,75
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 25 a 29 Años,2017,22.73
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 25 a 29 Años,2018,24.32
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 25 a 29 Años,2019,28.57
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 25 a 29 Años,2020,25.81
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 25 a 29 Años,2021,50
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 25 a 29 Años,2022,42.86
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 25 a 29 Años,2023,40.24
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 25 a 29 Años,2024,50.75
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 30 a 34 Años,2011,21.43
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 30 a 34 Años,2012,14.29
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 30 a 34 Años,2013,30.77
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 30 a 34 Años,2014,14.29
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 30 a 34 Años,2015,51.72
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 30 a 34 Años,2016,54.55
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 30 a 34 Años,2017,30.3
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 30 a 34 Años,2018,45.45
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 30 a 34 Años,2019,21.15
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 30 a 34 Años,2020,27.27
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 30 a 34 Años,2021,35.71
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 30 a 34 Años,2022,39.02
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 30 a 34 Años,2023,31.34
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 30 a 34 Años,2024,48
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 35 a 39 Años,2012,10
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 35 a 39 Años,2013,22.22
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 35 a 39 Años,2014,18.18
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 35 a 39 Años,2015,27.59
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 35 a 39 Años,2016,62.07
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 35 a 39 Años,2017,36.36
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 35 a 39 Años,2018,36.36
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 35 a 39 Años,2019,17.65
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 35 a 39 Años,2020,35.14
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 35 a 39 Años,2021,40.63
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 35 a 39 Años,2022,35
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 35 a 39 Años,2023,35.82
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 35 a 39 Años,2024,45.31
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 40 a 44 Años,2014,9.26
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 40 a 44 Años,2015,52.63
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 40 a 44 Años,2016,65
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 40 a 44 Años,2017,9.68
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 40 a 44 Años,2018,29.55
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 40 a 44 Años,2019,20.31
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 40 a 44 Años,2020,29.41
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 40 a 44 Años,2021,41.38
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 40 a 44 Años,2022,50.85
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 40 a 44 Años,2023,32.31
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 40 a 44 Años,2024,51.61
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 45 a 49 Años,2014,9.38
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 45 a 49 Años,2015,17.65
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 45 a 49 Años,2016,14.29
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 45 a 49 Años,2017,28.57
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 45 a 49 Años,2018,35.29
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 45 a 49 Años,2019,24
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 45 a 49 Años,2020,21.43
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 45 a 49 Años,2021,18.18
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 45 a 49 Años,2022,38.46
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 45 a 49 Años,2023,35.59
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 45 a 49 Años,2024,37.1
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 50 a 54 Años,2010,7.14
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 50 a 54 Años,2012,18.75
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 50 a 54 Años,2013,30.77
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 50 a 54 Años,2014,10.45
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 50 a 54 Años,2015,29.17
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 50 a 54 Años,2016,57.14
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 50 a 54 Años,2017,31.25
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 50 a 54 Años,2018,36.73
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 50 a 54 Años,2019,19.23
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 50 a 54 Años,2020,24
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 50 a 54 Años,2021,32.14
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 50 a 54 Años,2022,43.59
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 50 a 54 Años,2023,43.4
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 50 a 54 Años,2024,34.21
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 55 a 59 Años,2011,10
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 55 a 59 Años,2013,26.67
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 55 a 59 Años,2014,13.46
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 55 a 59 Años,2015,18.75
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 55 a 59 Años,2016,29.63
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 55 a 59 Años,2017,26.47
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 55 a 59 Años,2018,25
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 55 a 59 Años,2019,19.64
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 55 a 59 Años,2020,21.43
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 55 a 59 Años,2021,21.74
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 55 a 59 Años,2022,36.73
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 55 a 59 Años,2023,31.48
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 55 a 59 Años,2024,43.64
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 60 a 64 Años,2009,12.5
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 60 a 64 Años,2010,25
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 60 a 64 Años,2011,16.67
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 60 a 64 Años,2012,12.5
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 60 a 64 Años,2014,2.94
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 60 a 64 Años,2015,11.54
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 60 a 64 Años,2016,31.25
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 60 a 64 Años,2017,15.63
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 60 a 64 Años,2018,21.28
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 60 a 64 Años,2019,17.65
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 60 a 64 Años,2020,28.57
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 60 a 64 Años,2021,33.33
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 60 a 64 Años,2022,23.68
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 60 a 64 Años,2023,32.08
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 60 a 64 Años,2024,37.7
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 65 a 69 Años,2011,14.29
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 65 a 69 Años,2012,16.67
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 65 a 69 Años,2014,9.09
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 65 a 69 Años,2015,11.76
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 65 a 69 Años,2016,20
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 65 a 69 Años,2017,21.43
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 65 a 69 Años,2018,22.22
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 65 a 69 Años,2019,12.5
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 65 a 69 Años,2020,6.9
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 65 a 69 Años,2021,14.29
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 65 a 69 Años,2022,42.42
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 65 a 69 Años,2023,32
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 65 a 69 Años,2024,33.33
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 70 a 74 Años,2012,9.09
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 70 a 74 Años,2013,16.67
Porcentaje de personas que requieren y son atendidas al menos una vez en los servicios en salud mental,Abejorral,Total,De 70 a 74 Años,2014,6.45
